test_id,array_size,sort_method,timestamp
50,10,count_sort,377.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,377.0nS
50,10,selection_sort,0.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,378.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,377.0nS
50,10,radix_sort,0.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,0.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,378.0nS
50,10,radix_sort,378.0nS
50,10,bubble_sort,0.0nS
50,10,selection_sort,378.0nS
50,10,insertion_sort,378.0nS
50,10,merge_sort,0.0nS
50,10,quick_sort,0.0nS
50,10,count_sort,0.0nS
50,10,bucket_sort,0.0nS
50,10,radix_sort,377.0nS
50,50,bubble_sort,0.0nS
50,50,selection_sort,756.0nS
50,50,insertion_sort,755.0nS
50,50,merge_sort,755.0nS
50,50,quick_sort,755.0nS
50,50,count_sort,756.0nS
50,50,bucket_sort,755.0nS
50,50,radix_sort,755.0nS
51,50,bubble_sort,378.0nS
51,50,selection_sort,378.0nS
51,50,insertion_sort,378.0nS
51,50,merge_sort,378.0nS
51,50,quick_sort,378.0nS
51,50,count_sort,0.0nS
51,50,bucket_sort,377.0nS
51,50,radix_sort,378.0nS
52,50,bubble_sort,377.0nS
52,50,selection_sort,378.0nS
52,50,insertion_sort,0.0nS
52,50,merge_sort,0.0nS
52,50,quick_sort,0.0nS
52,50,count_sort,377.0nS
52,50,bucket_sort,378.0nS
52,50,radix_sort,377.0nS
53,50,bubble_sort,377.0nS
53,50,selection_sort,378.0nS
53,50,insertion_sort,377.0nS
53,50,merge_sort,0.0nS
53,50,quick_sort,377.0nS
53,50,count_sort,377.0nS
53,50,bucket_sort,377.0nS
53,50,radix_sort,0.0nS
54,50,bubble_sort,0.0nS
54,50,selection_sort,0.0nS
54,50,insertion_sort,0.0nS
54,50,merge_sort,0.0nS
54,50,quick_sort,0.0nS
54,50,count_sort,0.0nS
54,50,bucket_sort,378.0nS
54,50,radix_sort,377.0nS
55,50,bubble_sort,377.0nS
55,50,selection_sort,0.0nS
55,50,insertion_sort,378.0nS
55,50,merge_sort,0.0nS
55,50,quick_sort,0.0nS
55,50,count_sort,0.0nS
55,50,bucket_sort,0.0nS
55,50,radix_sort,0.0nS
56,50,bubble_sort,0.0nS
56,50,selection_sort,0.0nS
56,50,insertion_sort,0.0nS
56,50,merge_sort,378.0nS
56,50,quick_sort,0.0nS
56,50,count_sort,0.0nS
